,Fragment,class,count,msum,n_pcr,perc,mut_sum,mut_avg,tot_mut,perc_mutations,pcr_set,More_than_4,More_than_9,n,>4,>9,nclones_pcr,nclones,nclones_bp
108,F13,GOOD,20785,31705,7,65.55748304683804,518,20.72,525.0,98.66666666666669,3,522,521,524,99.61832061068702,99.42748091603052,5000.0,35000.0,467
109,F43,GOOD,21701,47114,7,46.06061892431125,373,20.72222222222222,378.0,98.67724867724868,3,373,373,376,99.20212765957449,99.20212765957449,7500.0,52500.0,1029
110,F13,GOOD,21621,33795,8,63.976919662672,518,20.72,525.0,98.66666666666669,3,522,521,524,99.61832061068702,99.42748091603052,5000.0,40000.0,533
111,F43,GOOD,21179,49572,8,42.72371500040346,373,20.72222222222222,378.0,98.67724867724868,3,373,373,376,99.20212765957449,99.20212765957449,7500.0,60000.0,1176
112,F13,GOOD,22294,35609,9,62.60776769917717,518,20.72,525.0,98.66666666666669,3,523,521,524,99.80916030534353,99.42748091603052,5000.0,45000.0,600
113,F43,GOOD,20530,52068,9,39.42920795882308,373,20.72222222222222,378.0,98.67724867724868,3,373,373,376,99.20212765957449,99.20212765957449,7500.0,67500.0,1324
114,F13,GOOD,22294,35609,10,62.60776769917717,518,20.72,525.0,98.66666666666669,3,523,521,524,99.80916030534353,99.42748091603052,5000.0,50000.0,667
115,F43,GOOD,19970,53465,10,37.35153838960068,373,20.72222222222222,378.0,98.67724867724868,3,373,373,376,99.20212765957449,99.20212765957449,7500.0,75000.0,1471
116,F13,GOOD,22294,35609,11,62.60776769917717,518,20.72,525.0,98.66666666666669,3,523,521,524,99.80916030534353,99.42748091603052,5000.0,55000.0,733
117,F43,GOOD,19236,55753,11,34.50217925492798,373,20.72222222222222,378.0,98.67724867724868,3,373,373,376,99.20212765957449,99.20212765957449,7500.0,82500.0,1618
118,F13,GOOD,24054,40179,12,59.86709475098933,518,20.72,525.0,98.66666666666669,3,524,522,524,100.0,99.61832061068702,5000.0,60000.0,800
119,F43,GOOD,18640,57194,12,32.59083120607057,373,20.72222222222222,378.0,98.67724867724868,3,374,373,377,99.20424403183024,98.93899204244032,7500.0,90000.0,1765
120,F13,GOOD,24359,41242,13,59.063575966248,518,20.72,525.0,98.66666666666669,3,524,522,524,100.0,99.61832061068702,5000.0,65000.0,867
121,F43,GOOD,17686,59097,13,29.92706905595885,373,20.72222222222222,378.0,98.67724867724868,3,375,373,377,99.46949602122017,98.93899204244032,7500.0,97500.0,1912
122,F13,GOOD,25088,43442,14,57.75056397035128,518,20.72,525.0,98.66666666666669,3,524,522,524,100.0,99.61832061068702,5000.0,70000.0,933
123,F43,GOOD,17550,59312,14,29.589290531427032,373,20.72222222222222,378.0,98.67724867724868,3,375,373,377,99.46949602122017,98.93899204244032,7500.0,105000.0,2059
124,F13,GOOD,25521,45010,15,56.70073317040658,518,20.72,525.0,98.66666666666669,3,524,522,524,100.0,99.61832061068702,5000.0,75000.0,1000
125,F43,GOOD,16376,61264,15,26.73021676677984,373,20.72222222222222,378.0,98.67724867724868,3,375,373,377,99.46949602122017,98.93899204244032,7500.0,112500.0,2206
126,F13,GOOD,25521,45010,16,56.70073317040658,518,20.72,525.0,98.66666666666669,3,524,522,524,100.0,99.61832061068702,5000.0,80000.0,1067
127,F43,GOOD,15924,61828,16,25.75532121368959,373,20.72222222222222,378.0,98.67724867724868,3,375,373,377,99.46949602122017,98.93899204244032,7500.0,120000.0,2353
128,F13,GOOD,9210,12072,1,76.29224652087476,518,20.72,525.0,98.66666666666669,4,515,472,523,98.47036328871891,90.24856596558315,5000.0,5000.0,67
129,F43,GOOD,8872,10736,1,82.63785394932935,373,20.72222222222222,378.0,98.67724867724868,4,370,338,374,98.93048128342244,90.37433155080214,7500.0,7500.0,147
130,F13,GOOD,11221,15082,2,74.39994695663705,518,20.72,525.0,98.66666666666669,4,519,502,524,99.04580152671755,95.80152671755724,5000.0,10000.0,133
131,F43,GOOD,15937,22260,2,71.59478885893981,373,20.72222222222222,378.0,98.67724867724868,4,373,373,375,99.46666666666668,99.46666666666668,7500.0,15000.0,294
132,F13,GOOD,13379,18450,3,72.51490514905149,518,20.72,525.0,98.66666666666669,4,520,513,524,99.23664122137404,97.90076335877863,5000.0,15000.0,200
133,F43,GOOD,18857,29034,3,64.94799200936832,373,20.72222222222222,378.0,98.67724867724868,4,373,373,375,99.46666666666668,99.46666666666668,7500.0,22500.0,441
134,F13,GOOD,15434,21716,4,71.07202062995027,518,20.72,525.0,98.66666666666669,4,522,515,524,99.61832061068702,98.2824427480916,5000.0,20000.0,267
135,F43,GOOD,20700,35555,4,58.21965968218253,373,20.72222222222222,378.0,98.67724867724868,4,373,373,375,99.46666666666668,99.46666666666668,7500.0,30000.0,588
136,F13,GOOD,16402,23409,5,70.06706822162417,518,20.72,525.0,98.66666666666669,4,522,515,524,99.61832061068702,98.2824427480916,5000.0,25000.0,333
137,F43,GOOD,21342,40218,5,53.06579143667015,373,20.72222222222222,378.0,98.67724867724868,4,373,373,375,99.46666666666668,99.46666666666668,7500.0,37500.0,735
138,F13,GOOD,17148,24777,6,69.20934737861727,518,20.72,525.0,98.66666666666669,4,522,517,524,99.61832061068702,98.66412213740458,5000.0,30000.0,400
139,F43,GOOD,21431,44814,6,47.82210916231534,373,20.72222222222222,378.0,98.67724867724868,4,373,373,375,99.46666666666668,99.46666666666668,7500.0,45000.0,882
140,F13,GOOD,18515,27332,7,67.74110932240596,518,20.72,525.0,98.66666666666669,4,522,520,524,99.61832061068702,99.23664122137404,5000.0,35000.0,467
141,F43,GOOD,21023,49613,7,42.37397456311854,373,20.72222222222222,378.0,98.67724867724868,4,374,373,375,99.73333333333332,99.46666666666668,7500.0,52500.0,1029
142,F13,GOOD,20021,30319,8,66.0344998185956,518,20.72,525.0,98.66666666666669,4,522,520,524,99.61832061068702,99.23664122137404,5000.0,40000.0,533
143,F43,GOOD,20720,50914,8,40.69607573555408,373,20.72222222222222,378.0,98.67724867724868,4,374,373,376,99.46808510638296,99.20212765957449,7500.0,60000.0,1176
144,F13,GOOD,21204,32862,9,64.5243746576593,518,20.72,525.0,98.66666666666669,4,523,521,524,99.80916030534353,99.42748091603052,5000.0,45000.0,600
145,F43,GOOD,19953,53803,9,37.08529264167426,373,20.72222222222222,378.0,98.67724867724868,4,374,373,376,99.46808510638296,99.20212765957449,7500.0,67500.0,1324
146,F13,GOOD,23061,37494,10,61.505840934549525,518,20.72,525.0,98.66666666666669,4,523,521,524,99.80916030534353,99.42748091603052,5000.0,50000.0,667
147,F43,GOOD,19452,55389,10,35.11888642149163,373,20.72222222222222,378.0,98.67724867724868,4,374,373,376,99.46808510638296,99.20212765957449,7500.0,75000.0,1471
